Line,production day,shift,from,till,Code,Stof-Snelheid-Profiel,IO parts,NIO parts
103,3/25/2022,late,25/03/22 13:55,25/03/22 21:55,3058,ND-22m-143.xxx,10359,866
103,3/25/2022,night,25/03/22 21:55,26/03/22 5:55,3058,ND-22m-143.xxx,10538,687
103,3/26/2022,early,26/03/22 5:55,26/03/22 13:55,3058,ND-22m-143.xxx,9653,1290
103,3/28/2022,early,28/03/22 5:55,28/03/22 13:55,3058,ND-22m-143.xxx,0,74
103,3/28/2022,late,28/03/22 13:55,28/03/22 21:55,3058,ND-22m-143.xxx,8781,2061
103,3/28/2022,night,28/03/22 21:55,29/03/22 5:55,3058,ND-22m-143.xxx,9932,1145
103,3/29/2022,early,29/03/22 5:55,29/03/22 13:55,3058,ND-22m-143.xxx,10348,723
103,3/29/2022,late,29/03/22 13:55,29/03/22 21:55,3058,ND-22m-143.xxx,9803,1263
103,3/29/2022,night,29/03/22 21:55,30/03/22 5:55,3058,ND-22m-143.xxx,9876,1189
103,3/30/2022,early,30/03/22 5:55,30/03/22 13:55,3058,ND-22m-143.xxx,9489,1240
103,3/30/2022,late,30/03/22 13:55,30/03/22 21:55,3058,ND-22m-143.xxx,9272,1362
103,3/30/2022,night,30/03/22 21:55,31/03/22 4:04,3058,ND-22m-143.xxx,7073,1299
